key,value
"Residence/Home",313
"Highway/Road/Alley/Street/Sidewalk",304
"Parking/Drop Lot/Garage",63
"Bar/Nightclub",10
"Hotel/Motel/Etc.",10
"Convenience Store",9
"Park/Playground",9
"Air/Bus/Train Terminal",8
"Other/Unknown",7
"Service/Gas Station",7
"Specialty Store",4
"Commercial/Office Building",3
"Lake/Waterway/Beach",3
"Restaurant",3
"Government/Public Building",2
"Abandoned/Condemned Structure",1
"Community Center",1
"Daycare Facility",1
"Dock/Wharf/Freight/Modal Terminal",1
"Drug Store/Doctor's Office/Hospital",1
"Farm Facility",1
"Field/Woods",1
"Grocery/Supermarket",1
"Jail/Prison/Penitentiary/Corrections Facility",1
"Rental Storage Facility",1
"School-Elementary/Secondary",1
"Shopping Mall",1
"Tribal Lands",1
"Amusement Park",0
"Arena/Stadium/Fairgrounds/Coliseum",0
"ATM Separate from Bank",0
"Auto Dealership New/Used",0
"Bank/Savings and Loan",0
"Camp/Campground",0
"Church/Synagogue/Temple/Mosque",0
"Construction Site",0
"Cyberspace",0
"Department/Discount Store",0
"Gambling Facility/Casino/Race Track",0
"Industrial Site",0
"Liquor Store",0
"Military Installation",0
"Not Specified",0
"Rest Area",0
"School-College/University",0
"School/College",0
"Shelter-Mission/Homeless",0
