key,value
"Residence/Home",355138
"Other/Unknown",29775
"Hotel/Motel/Etc.",24311
"Highway/Road/Alley/Street/Sidewalk",20727
"Parking/Drop Lot/Garage",12968
"School-Elementary/Secondary",8726
"Park/Playground",7879
"Drug Store/Doctor's Office/Hospital",6549
"Field/Woods",6175
"Jail/Prison/Penitentiary/Corrections Facility",4598
"Government/Public Building",3719
"School-College/University",3515
"Bar/Nightclub",2997
"Commercial/Office Building",2701
"Restaurant",1900
"School/College",1607
"Camp/Campground",1407
"Church/Synagogue/Temple/Mosque",1304
"Specialty Store",1089
"Lake/Waterway/Beach",983
"Air/Bus/Train Terminal",857
"Abandoned/Condemned Structure",798
"Convenience Store",791
"Service/Gas Station",782
"Shelter-Mission/Homeless",745
"Daycare Facility",669
"Department/Discount Store",640
"Shopping Mall",561
"Grocery/Supermarket",509
"Tribal Lands",496
"Rental Storage Facility",471
"Community Center",402
"Amusement Park",273
"Construction Site",250
"Rest Area",247
"Gambling Facility/Casino/Race Track",238
"Arena/Stadium/Fairgrounds/Coliseum",233
"Farm Facility",201
"Industrial Site",152
"Dock/Wharf/Freight/Modal Terminal",145
"Military Installation",127
"Liquor Store",73
"Bank/Savings and Loan",72
"Auto Dealership New/Used",63
"ATM Separate from Bank",34
"Cyberspace",0
"Not Specified",0
