key,value
"Highway/Road/Alley/Street/Sidewalk",21916
"Parking/Drop Lot/Garage",9786
"Residence/Home",7351
"Other/Unknown",2779
"Department/Discount Store",2244
"Jail/Prison/Penitentiary/Corrections Facility",1824
"Grocery/Supermarket",1801
"School-Elementary/Secondary",1721
"Hotel/Motel/Etc.",1498
"Park/Playground",1192
"School/College",846
"Convenience Store",844
"Specialty Store",806
"Government/Public Building",773
"Gambling Facility/Casino/Race Track",731
"Service/Gas Station",709
"Commercial/Office Building",648
"Restaurant",558
"Air/Bus/Train Terminal",515
"Field/Woods",470
"Drug Store/Doctor's Office/Hospital",426
"Tribal Lands",414
"School-College/University",329
"Shopping Mall",244
"Church/Synagogue/Temple/Mosque",169
"Bar/Nightclub",155
"Bank/Savings and Loan",129
"Shelter-Mission/Homeless",101
"Rental Storage Facility",92
"Construction Site",83
"Camp/Campground",80
"Industrial Site",41
"Lake/Waterway/Beach",40
"Abandoned/Condemned Structure",35
"Auto Dealership New/Used",34
"Dock/Wharf/Freight/Modal Terminal",33
"Arena/Stadium/Fairgrounds/Coliseum",25
"Community Center",23
"Rest Area",19
"Farm Facility",14
"Liquor Store",12
"Amusement Park",11
"Daycare Facility",8
"Cyberspace",6
"ATM Separate from Bank",2
"Military Installation",2
"Not Specified",0
