key,value
"Residence/Home",26016
"Other/Unknown",1362
"Hotel/Motel/Etc.",1262
"Highway/Road/Alley/Street/Sidewalk",1106
"Parking/Drop Lot/Garage",712
"School-Elementary/Secondary",659
"Park/Playground",385
"Field/Woods",382
"Jail/Prison/Penitentiary/Corrections Facility",369
"Drug Store/Doctor's Office/Hospital",322
"School-College/University",179
"Camp/Campground",147
"Church/Synagogue/Temple/Mosque",118
"Bar/Nightclub",90
"Government/Public Building",82
"Rest Area",81
"Commercial/Office Building",70
"Restaurant",57
"Service/Gas Station",41
"Shelter-Mission/Homeless",41
"Abandoned/Condemned Structure",37
"Air/Bus/Train Terminal",34
"Rental Storage Facility",32
"Daycare Facility",30
"Lake/Waterway/Beach",30
"Shopping Mall",27
"Grocery/Supermarket",22
"Convenience Store",20
"Specialty Store",19
"Department/Discount Store",17
"Arena/Stadium/Fairgrounds/Coliseum",15
"Community Center",13
"Military Installation",13
"Amusement Park",8
"Liquor Store",8
"Farm Facility",5
"Gambling Facility/Casino/Race Track",5
"Bank/Savings and Loan",4
"Industrial Site",4
"Construction Site",1
"Tribal Lands",1
"ATM Separate from Bank",0
"Auto Dealership New/Used",0
"Cyberspace",0
"Dock/Wharf/Freight/Modal Terminal",0
"Not Specified",0
"School/College",0
