key,value
"Residence/Home",7164
"Other/Unknown",570
"Hotel/Motel/Etc.",490
"Highway/Road/Alley/Street/Sidewalk",463
"Park/Playground",250
"Parking/Drop Lot/Garage",241
"School-Elementary/Secondary",118
"Drug Store/Doctor's Office/Hospital",88
"Field/Woods",71
"Bar/Nightclub",54
"Government/Public Building",50
"School-College/University",47
"Shelter-Mission/Homeless",44
"Air/Bus/Train Terminal",36
"Jail/Prison/Penitentiary/Corrections Facility",33
"Camp/Campground",29
"Commercial/Office Building",28
"School/College",26
"Church/Synagogue/Temple/Mosque",24
"Restaurant",20
"Shopping Mall",19
"Lake/Waterway/Beach",17
"Specialty Store",17
"Daycare Facility",12
"Service/Gas Station",11
"Arena/Stadium/Fairgrounds/Coliseum",10
"Convenience Store",9
"Department/Discount Store",9
"Community Center",8
"Gambling Facility/Casino/Race Track",8
"Abandoned/Condemned Structure",4
"Rental Storage Facility",4
"Rest Area",4
"Amusement Park",3
"Farm Facility",3
"Grocery/Supermarket",3
"Tribal Lands",3
"Auto Dealership New/Used",2
"Bank/Savings and Loan",2
"Construction Site",2
"Industrial Site",2
"ATM Separate from Bank",1
"Dock/Wharf/Freight/Modal Terminal",1
"Liquor Store",1
"Military Installation",1
"Cyberspace",0
"Not Specified",0
