key,value
"Highway/Road/Alley/Street/Sidewalk",42790
"Residence/Home",9956
"Parking/Drop Lot/Garage",5833
"Air/Bus/Train Terminal",2015
"Department/Discount Store",1633
"Other/Unknown",1575
"School-Elementary/Secondary",1402
"Park/Playground",1345
"Hotel/Motel/Etc.",1285
"Service/Gas Station",1183
"Convenience Store",898
"Jail/Prison/Penitentiary/Corrections Facility",860
"Gambling Facility/Casino/Race Track",486
"Government/Public Building",473
"Grocery/Supermarket",410
"Lake/Waterway/Beach",403
"Drug Store/Doctor's Office/Hospital",400
"Specialty Store",377
"Dock/Wharf/Freight/Modal Terminal",347
"School/College",316
"Restaurant",314
"Shopping Mall",279
"Commercial/Office Building",272
"School-College/University",231
"Field/Woods",229
"Bar/Nightclub",180
"Rental Storage Facility",117
"Bank/Savings and Loan",93
"Shelter-Mission/Homeless",76
"Construction Site",56
"Church/Synagogue/Temple/Mosque",53
"Liquor Store",47
"Camp/Campground",44
"Auto Dealership New/Used",42
"Industrial Site",29
"Abandoned/Condemned Structure",23
"Arena/Stadium/Fairgrounds/Coliseum",23
"Community Center",21
"Rest Area",17
"Tribal Lands",10
"Daycare Facility",8
"Farm Facility",8
"Amusement Park",7
"Cyberspace",5
"ATM Separate from Bank",2
"Military Installation",2
"Not Specified",0
