key,value
"Residence/Home",4120
"Highway/Road/Alley/Street/Sidewalk",1747
"Parking/Drop Lot/Garage",1085
"Field/Woods",251
"Hotel/Motel/Etc.",217
"Other/Unknown",205
"Convenience Store",174
"Bar/Nightclub",173
"Commercial/Office Building",151
"Service/Gas Station",99
"Park/Playground",98
"Restaurant",60
"Specialty Store",53
"Department/Discount Store",35
"Drug Store/Doctor's Office/Hospital",31
"School-Elementary/Secondary",31
"Lake/Waterway/Beach",26
"Grocery/Supermarket",18
"Gambling Facility/Casino/Race Track",16
"Jail/Prison/Penitentiary/Corrections Facility",16
"Shopping Mall",14
"Construction Site",12
"Church/Synagogue/Temple/Mosque",10
"Rental Storage Facility",8
"Government/Public Building",7
"Bank/Savings and Loan",6
"Abandoned/Condemned Structure",5
"Camp/Campground",5
"Arena/Stadium/Fairgrounds/Coliseum",4
"Air/Bus/Train Terminal",3
"Industrial Site",3
"Shelter-Mission/Homeless",3
"Auto Dealership New/Used",2
"Dock/Wharf/Freight/Modal Terminal",2
"Farm Facility",2
"Liquor Store",2
"Rest Area",2
"Amusement Park",1
"Community Center",1
"School-College/University",1
"School/College",1
"ATM Separate from Bank",0
"Cyberspace",0
"Daycare Facility",0
"Military Installation",0
"Not Specified",0
"Tribal Lands",0
