key,value
"Residence/Home",22132
"Highway/Road/Alley/Street/Sidewalk",21033
"Parking/Drop Lot/Garage",19567
"Convenience Store",9608
"Department/Discount Store",5536
"Service/Gas Station",5154
"Specialty Store",4168
"Restaurant",3726
"Commercial/Office Building",3247
"Hotel/Motel/Etc.",2857
"Other/Unknown",2298
"Grocery/Supermarket",2186
"Park/Playground",1900
"Field/Woods",1483
"Drug Store/Doctor's Office/Hospital",1154
"Bank/Savings and Loan",1081
"Bar/Nightclub",1055
"Shopping Mall",482
"Air/Bus/Train Terminal",433
"School-Elementary/Secondary",348
"Liquor Store",305
"Gambling Facility/Casino/Race Track",274
"Construction Site",210
"ATM Separate from Bank",176
"Government/Public Building",136
"Church/Synagogue/Temple/Mosque",129
"Auto Dealership New/Used",111
"Rental Storage Facility",98
"School-College/University",65
"Abandoned/Condemned Structure",56
"Jail/Prison/Penitentiary/Corrections Facility",54
"Community Center",50
"Shelter-Mission/Homeless",45
"Lake/Waterway/Beach",34
"Industrial Site",30
"School/College",30
"Arena/Stadium/Fairgrounds/Coliseum",24
"Camp/Campground",23
"Amusement Park",22
"Rest Area",20
"Daycare Facility",12
"Dock/Wharf/Freight/Modal Terminal",6
"Farm Facility",6
"Military Installation",3
"Tribal Lands",2
"Cyberspace",0
"Not Specified",0
