key,value
"Residence/Home",2857
"Highway/Road/Alley/Street/Sidewalk",938
"Parking/Drop Lot/Garage",171
"Other/Unknown",157
"Government/Public Building",119
"Hotel/Motel/Etc.",95
"School-Elementary/Secondary",82
"Restaurant",79
"Drug Store/Doctor's Office/Hospital",68
"Bar/Nightclub",65
"Park/Playground",61
"Field/Woods",58
"Convenience Store",49
"Commercial/Office Building",40
"Jail/Prison/Penitentiary/Corrections Facility",37
"Department/Discount Store",34
"Service/Gas Station",32
"Specialty Store",18
"Camp/Campground",14
"School-College/University",13
"Construction Site",9
"Lake/Waterway/Beach",9
"Shopping Mall",9
"Grocery/Supermarket",8
"Shelter-Mission/Homeless",7
"Church/Synagogue/Temple/Mosque",6
"School/College",6
"Air/Bus/Train Terminal",5
"Bank/Savings and Loan",4
"Industrial Site",4
"Arena/Stadium/Fairgrounds/Coliseum",3
"Auto Dealership New/Used",3
"Amusement Park",2
"Rental Storage Facility",2
"Rest Area",2
"Abandoned/Condemned Structure",1
"Community Center",1
"Dock/Wharf/Freight/Modal Terminal",1
"Gambling Facility/Casino/Race Track",1
"Liquor Store",1
"Military Installation",1
"ATM Separate from Bank",0
"Cyberspace",0
"Daycare Facility",0
"Farm Facility",0
"Not Specified",0
"Tribal Lands",0
