key,value
"Highway/Road/Alley/Street/Sidewalk",325710
"Residence/Home",63525
"Parking/Drop Lot/Garage",54379
"School-Elementary/Secondary",32288
"Hotel/Motel/Etc.",13527
"Convenience Store",12311
"Other/Unknown",10660
"Service/Gas Station",7871
"Park/Playground",7022
"Department/Discount Store",6502
"Jail/Prison/Penitentiary/Corrections Facility",5994
"Commercial/Office Building",5161
"Government/Public Building",4848
"Grocery/Supermarket",4329
"Field/Woods",3996
"Specialty Store",3908
"Restaurant",3766
"Drug Store/Doctor's Office/Hospital",3293
"School/College",3267
"Air/Bus/Train Terminal",2857
"School-College/University",2467
"Bar/Nightclub",2233
"Shopping Mall",744
"Rental Storage Facility",693
"Church/Synagogue/Temple/Mosque",665
"Bank/Savings and Loan",549
"Abandoned/Condemned Structure",384
"Gambling Facility/Casino/Race Track",343
"Construction Site",324
"Lake/Waterway/Beach",320
"Auto Dealership New/Used",313
"Tribal Lands",301
"Amusement Park",230
"Arena/Stadium/Fairgrounds/Coliseum",218
"Shelter-Mission/Homeless",189
"Industrial Site",163
"Community Center",162
"Liquor Store",160
"Dock/Wharf/Freight/Modal Terminal",115
"Camp/Campground",114
"Rest Area",81
"Daycare Facility",51
"Military Installation",34
"Farm Facility",22
"ATM Separate from Bank",20
"Cyberspace",9
"Not Specified",0
