key,value
"Residence/Home",32670
"Highway/Road/Alley/Street/Sidewalk",18880
"Parking/Drop Lot/Garage",5518
"Other/Unknown",2386
"Field/Woods",1411
"Hotel/Motel/Etc.",1243
"Bar/Nightclub",1142
"Convenience Store",989
"Service/Gas Station",869
"Park/Playground",860
"Commercial/Office Building",533
"Restaurant",466
"Jail/Prison/Penitentiary/Corrections Facility",305
"Specialty Store",232
"Drug Store/Doctor's Office/Hospital",222
"Grocery/Supermarket",215
"Government/Public Building",158
"Lake/Waterway/Beach",158
"Air/Bus/Train Terminal",144
"School-Elementary/Secondary",136
"Department/Discount Store",133
"Abandoned/Condemned Structure",97
"Liquor Store",97
"Tribal Lands",96
"Church/Synagogue/Temple/Mosque",90
"Shopping Mall",90
"Camp/Campground",88
"Construction Site",65
"Rental Storage Facility",57
"Gambling Facility/Casino/Race Track",53
"Bank/Savings and Loan",51
"Farm Facility",49
"School-College/University",49
"Industrial Site",42
"Shelter-Mission/Homeless",41
"Community Center",37
"Auto Dealership New/Used",27
"Rest Area",27
"School/College",23
"Daycare Facility",19
"Dock/Wharf/Freight/Modal Terminal",16
"Arena/Stadium/Fairgrounds/Coliseum",14
"Amusement Park",12
"ATM Separate from Bank",5
"Cyberspace",0
"Military Installation",0
"Not Specified",0
