key,value
"Highway/Road/Alley/Street/Sidewalk",6782
"Residence/Home",3630
"Parking/Drop Lot/Garage",1077
"Convenience Store",627
"Hotel/Motel/Etc.",538
"Department/Discount Store",411
"Other/Unknown",400
"Government/Public Building",282
"Restaurant",279
"Service/Gas Station",243
"School-Elementary/Secondary",231
"Grocery/Supermarket",214
"Commercial/Office Building",197
"Jail/Prison/Penitentiary/Corrections Facility",170
"Specialty Store",161
"Field/Woods",158
"Drug Store/Doctor's Office/Hospital",150
"School/College",142
"Park/Playground",109
"School-College/University",74
"Construction Site",45
"Bank/Savings and Loan",44
"Lake/Waterway/Beach",41
"Gambling Facility/Casino/Race Track",40
"Bar/Nightclub",34
"Church/Synagogue/Temple/Mosque",34
"Rental Storage Facility",29
"Air/Bus/Train Terminal",25
"Shelter-Mission/Homeless",13
"Dock/Wharf/Freight/Modal Terminal",11
"Camp/Campground",9
"Shopping Mall",9
"Liquor Store",6
"Arena/Stadium/Fairgrounds/Coliseum",5
"Industrial Site",5
"Rest Area",5
"Abandoned/Condemned Structure",4
"Community Center",4
"Amusement Park",3
"Tribal Lands",2
"Auto Dealership New/Used",1
"Farm Facility",1
"Military Installation",1
"ATM Separate from Bank",0
"Cyberspace",0
"Daycare Facility",0
"Not Specified",0
