key,value
"Residence/Home",9378
"Highway/Road/Alley/Street/Sidewalk",4805
"Parking/Drop Lot/Garage",612
"Bar/Nightclub",554
"Hotel/Motel/Etc.",521
"Park/Playground",334
"Jail/Prison/Penitentiary/Corrections Facility",317
"School-Elementary/Secondary",290
"Other/Unknown",282
"Field/Woods",182
"Convenience Store",164
"Shelter-Mission/Homeless",117
"Drug Store/Doctor's Office/Hospital",116
"Restaurant",116
"Government/Public Building",113
"Camp/Campground",110
"Grocery/Supermarket",106
"Service/Gas Station",96
"Department/Discount Store",75
"Gambling Facility/Casino/Race Track",57
"Specialty Store",57
"School-College/University",52
"Commercial/Office Building",48
"Lake/Waterway/Beach",48
"Shopping Mall",32
"Church/Synagogue/Temple/Mosque",31
"Daycare Facility",30
"Rental Storage Facility",29
"Air/Bus/Train Terminal",28
"Arena/Stadium/Fairgrounds/Coliseum",28
"Community Center",16
"Amusement Park",14
"Construction Site",13
"Bank/Savings and Loan",10
"Tribal Lands",10
"Abandoned/Condemned Structure",8
"Auto Dealership New/Used",8
"Farm Facility",7
"Liquor Store",6
"Industrial Site",5
"Rest Area",4
"Dock/Wharf/Freight/Modal Terminal",1
"Military Installation",1
"School/College",1
"ATM Separate from Bank",0
"Cyberspace",0
"Not Specified",0
