key,value
"Highway/Road/Alley/Street/Sidewalk",30383
"Parking/Drop Lot/Garage",9047
"Residence/Home",7163
"School-Elementary/Secondary",2294
"Convenience Store",1789
"Park/Playground",1547
"Hotel/Motel/Etc.",1522
"Service/Gas Station",1473
"Department/Discount Store",1348
"Other/Unknown",1276
"Jail/Prison/Penitentiary/Corrections Facility",1080
"School/College",1002
"Commercial/Office Building",802
"Grocery/Supermarket",761
"Air/Bus/Train Terminal",634
"Tribal Lands",601
"Government/Public Building",589
"Restaurant",553
"Specialty Store",519
"Gambling Facility/Casino/Race Track",500
"Drug Store/Doctor's Office/Hospital",484
"Field/Woods",384
"School-College/University",276
"Shopping Mall",208
"Bar/Nightclub",127
"Church/Synagogue/Temple/Mosque",108
"Bank/Savings and Loan",69
"Rental Storage Facility",61
"Abandoned/Condemned Structure",59
"Construction Site",43
"Camp/Campground",39
"Lake/Waterway/Beach",38
"Liquor Store",31
"Industrial Site",24
"Auto Dealership New/Used",23
"Community Center",23
"Shelter-Mission/Homeless",17
"Rest Area",13
"Arena/Stadium/Fairgrounds/Coliseum",12
"Dock/Wharf/Freight/Modal Terminal",12
"Amusement Park",11
"Cyberspace",11
"Daycare Facility",10
"Farm Facility",8
"Military Installation",5
"ATM Separate from Bank",3
"Not Specified",0
