key,value
"Residence/Home",1683
"Highway/Road/Alley/Street/Sidewalk",1023
"Parking/Drop Lot/Garage",185
"Other/Unknown",90
"Field/Woods",75
"Service/Gas Station",66
"Hotel/Motel/Etc.",58
"Bar/Nightclub",43
"Convenience Store",28
"Liquor Store",25
"Restaurant",21
"Park/Playground",20
"Jail/Prison/Penitentiary/Corrections Facility",17
"Commercial/Office Building",15
"Rest Area",13
"Abandoned/Condemned Structure",12
"Lake/Waterway/Beach",9
"School-Elementary/Secondary",9
"Drug Store/Doctor's Office/Hospital",8
"Department/Discount Store",6
"Air/Bus/Train Terminal",5
"Church/Synagogue/Temple/Mosque",4
"Government/Public Building",3
"Rental Storage Facility",3
"School-College/University",3
"Specialty Store",3
"Bank/Savings and Loan",2
"Gambling Facility/Casino/Race Track",2
"Grocery/Supermarket",2
"Shelter-Mission/Homeless",2
"Camp/Campground",1
"Construction Site",1
"Industrial Site",1
"Shopping Mall",1
"Amusement Park",0
"Arena/Stadium/Fairgrounds/Coliseum",0
"ATM Separate from Bank",0
"Auto Dealership New/Used",0
"Community Center",0
"Cyberspace",0
"Daycare Facility",0
"Dock/Wharf/Freight/Modal Terminal",0
"Farm Facility",0
"Military Installation",0
"Not Specified",0
"School/College",0
"Tribal Lands",0
