key,value
"Residence/Home",216083
"Highway/Road/Alley/Street/Sidewalk",80346
"Parking/Drop Lot/Garage",33268
"Hotel/Motel/Etc.",7350
"Commercial/Office Building",7329
"Bar/Nightclub",6613
"Convenience Store",6119
"Other/Unknown",5908
"Service/Gas Station",4459
"Restaurant",4457
"Field/Woods",3799
"Park/Playground",3535
"School-Elementary/Secondary",2881
"Specialty Store",2447
"Jail/Prison/Penitentiary/Corrections Facility",1530
"Drug Store/Doctor's Office/Hospital",1469
"Department/Discount Store",1384
"Grocery/Supermarket",1158
"Government/Public Building",702
"Air/Bus/Train Terminal",670
"Church/Synagogue/Temple/Mosque",443
"Construction Site",412
"School/College",405
"Rental Storage Facility",404
"Shopping Mall",346
"School-College/University",338
"Camp/Campground",260
"Auto Dealership New/Used",256
"Shelter-Mission/Homeless",252
"Arena/Stadium/Fairgrounds/Coliseum",236
"Daycare Facility",230
"Lake/Waterway/Beach",210
"Industrial Site",204
"Community Center",176
"Gambling Facility/Casino/Race Track",175
"Abandoned/Condemned Structure",151
"Bank/Savings and Loan",143
"Liquor Store",132
"Amusement Park",110
"Rest Area",61
"Farm Facility",54
"Dock/Wharf/Freight/Modal Terminal",46
"Military Installation",26
"ATM Separate from Bank",24
"Tribal Lands",4
"Cyberspace",0
"Not Specified",0
