key,value
"Highway/Road/Alley/Street/Sidewalk",93627
"Parking/Drop Lot/Garage",29193
"Residence/Home",17224
"Other/Unknown",14861
"Park/Playground",4702
"Hotel/Motel/Etc.",4514
"Jail/Prison/Penitentiary/Corrections Facility",4229
"Commercial/Office Building",3216
"Service/Gas Station",2848
"Department/Discount Store",2560
"Convenience Store",2279
"Restaurant",1784
"Specialty Store",1776
"Construction Site",1773
"Drug Store/Doctor's Office/Hospital",1585
"Grocery/Supermarket",1472
"Field/Woods",1423
"Air/Bus/Train Terminal",1402
"Government/Public Building",1400
"School-Elementary/Secondary",984
"Shopping Mall",959
"Gambling Facility/Casino/Race Track",887
"School-College/University",700
"Amusement Park",500
"School/College",469
"Lake/Waterway/Beach",418
"Liquor Store",354
"Church/Synagogue/Temple/Mosque",345
"Bar/Nightclub",305
"Rental Storage Facility",303
"Bank/Savings and Loan",301
"Abandoned/Condemned Structure",230
"Camp/Campground",218
"Tribal Lands",209
"Auto Dealership New/Used",130
"Community Center",106
"Industrial Site",88
"Shelter-Mission/Homeless",70
"Arena/Stadium/Fairgrounds/Coliseum",63
"Farm Facility",43
"Rest Area",42
"Dock/Wharf/Freight/Modal Terminal",39
"Daycare Facility",15
"ATM Separate from Bank",11
"Cyberspace",5
"Military Installation",5
"Not Specified",0
