key,value
"Residence/Home",727
"Highway/Road/Alley/Street/Sidewalk",401
"Parking/Drop Lot/Garage",137
"Field/Woods",57
"Park/Playground",52
"Hotel/Motel/Etc.",44
"Other/Unknown",38
"Bar/Nightclub",25
"Convenience Store",25
"Camp/Campground",14
"Commercial/Office Building",12
"Restaurant",12
"Service/Gas Station",12
"Specialty Store",10
"Drug Store/Doctor's Office/Hospital",8
"Grocery/Supermarket",8
"Air/Bus/Train Terminal",6
"Farm Facility",6
"Lake/Waterway/Beach",6
"Community Center",5
"Government/Public Building",5
"Jail/Prison/Penitentiary/Corrections Facility",4
"School-Elementary/Secondary",4
"Tribal Lands",4
"Bank/Savings and Loan",3
"Industrial Site",3
"Rental Storage Facility",3
"School/College",3
"Shopping Mall",3
"Church/Synagogue/Temple/Mosque",2
"Department/Discount Store",2
"Shelter-Mission/Homeless",2
"Abandoned/Condemned Structure",1
"Construction Site",1
"Gambling Facility/Casino/Race Track",1
"Amusement Park",0
"Arena/Stadium/Fairgrounds/Coliseum",0
"ATM Separate from Bank",0
"Auto Dealership New/Used",0
"Cyberspace",0
"Daycare Facility",0
"Dock/Wharf/Freight/Modal Terminal",0
"Liquor Store",0
"Military Installation",0
"Not Specified",0
"Rest Area",0
"School-College/University",0
