key,value
"Residence/Home",728
"Highway/Road/Alley/Street/Sidewalk",697
"Parking/Drop Lot/Garage",138
"Other/Unknown",127
"Park/Playground",46
"Hotel/Motel/Etc.",44
"Field/Woods",38
"Convenience Store",24
"Construction Site",21
"Bar/Nightclub",20
"Service/Gas Station",16
"School-Elementary/Secondary",14
"Commercial/Office Building",13
"Farm Facility",12
"Air/Bus/Train Terminal",11
"Liquor Store",11
"Jail/Prison/Penitentiary/Corrections Facility",10
"Lake/Waterway/Beach",10
"Restaurant",7
"Specialty Store",7
"Drug Store/Doctor's Office/Hospital",6
"Government/Public Building",6
"Shopping Mall",6
"Camp/Campground",4
"Church/Synagogue/Temple/Mosque",4
"Department/Discount Store",3
"Dock/Wharf/Freight/Modal Terminal",3
"Grocery/Supermarket",3
"Tribal Lands",3
"Bank/Savings and Loan",2
"School-College/University",2
"School/College",2
"Abandoned/Condemned Structure",1
"Amusement Park",1
"Arena/Stadium/Fairgrounds/Coliseum",1
"Auto Dealership New/Used",1
"Community Center",1
"Industrial Site",1
"Shelter-Mission/Homeless",1
"ATM Separate from Bank",0
"Cyberspace",0
"Daycare Facility",0
"Gambling Facility/Casino/Race Track",0
"Military Installation",0
"Not Specified",0
"Rental Storage Facility",0
"Rest Area",0
