key,value
"Residence/Home",432
"Highway/Road/Alley/Street/Sidewalk",424
"Other/Unknown",96
"Parking/Drop Lot/Garage",50
"Grocery/Supermarket",26
"Bar/Nightclub",23
"Park/Playground",19
"Service/Gas Station",11
"Drug Store/Doctor's Office/Hospital",7
"Convenience Store",6
"Field/Woods",6
"Specialty Store",6
"Hotel/Motel/Etc.",5
"Restaurant",4
"Commercial/Office Building",3
"Shelter-Mission/Homeless",3
"School-Elementary/Secondary",2
"Abandoned/Condemned Structure",1
"Air/Bus/Train Terminal",1
"Church/Synagogue/Temple/Mosque",1
"Department/Discount Store",1
"Jail/Prison/Penitentiary/Corrections Facility",1
"Liquor Store",1
"Rest Area",1
"Shopping Mall",1
"Amusement Park",0
"Arena/Stadium/Fairgrounds/Coliseum",0
"ATM Separate from Bank",0
"Auto Dealership New/Used",0
"Bank/Savings and Loan",0
"Camp/Campground",0
"Community Center",0
"Construction Site",0
"Cyberspace",0
"Daycare Facility",0
"Dock/Wharf/Freight/Modal Terminal",0
"Farm Facility",0
"Gambling Facility/Casino/Race Track",0
"Government/Public Building",0
"Industrial Site",0
"Lake/Waterway/Beach",0
"Military Installation",0
"Not Specified",0
"Rental Storage Facility",0
"School-College/University",0
"School/College",0
"Tribal Lands",0
