key,value
"Residence/Home",20871
"Highway/Road/Alley/Street/Sidewalk",10880
"Parking/Drop Lot/Garage",2325
"Other/Unknown",931
"Bar/Nightclub",784
"School-Elementary/Secondary",711
"Park/Playground",693
"Air/Bus/Train Terminal",649
"Hotel/Motel/Etc.",555
"Service/Gas Station",479
"Restaurant",434
"Jail/Prison/Penitentiary/Corrections Facility",378
"Convenience Store",359
"Drug Store/Doctor's Office/Hospital",357
"School/College",193
"Commercial/Office Building",171
"Department/Discount Store",160
"Specialty Store",158
"Grocery/Supermarket",150
"Government/Public Building",148
"Shelter-Mission/Homeless",135
"Field/Woods",91
"Shopping Mall",88
"School-College/University",67
"Camp/Campground",63
"Church/Synagogue/Temple/Mosque",52
"Liquor Store",49
"Gambling Facility/Casino/Race Track",47
"Community Center",39
"Arena/Stadium/Fairgrounds/Coliseum",38
"Rental Storage Facility",37
"Lake/Waterway/Beach",36
"Construction Site",21
"Auto Dealership New/Used",20
"Bank/Savings and Loan",18
"Industrial Site",17
"Daycare Facility",14
"Farm Facility",8
"Rest Area",7
"Abandoned/Condemned Structure",6
"Amusement Park",6
"Dock/Wharf/Freight/Modal Terminal",6
"Tribal Lands",6
"Military Installation",1
"ATM Separate from Bank",0
"Cyberspace",0
"Not Specified",0
