key,value
"Residence/Home",2310
"Other/Unknown",245
"Hotel/Motel/Etc.",212
"Highway/Road/Alley/Street/Sidewalk",169
"Park/Playground",79
"Parking/Drop Lot/Garage",75
"Field/Woods",63
"School-Elementary/Secondary",40
"Bar/Nightclub",32
"Camp/Campground",28
"School-College/University",26
"Drug Store/Doctor's Office/Hospital",21
"Government/Public Building",17
"Jail/Prison/Penitentiary/Corrections Facility",16
"Lake/Waterway/Beach",11
"Shelter-Mission/Homeless",10
"Specialty Store",9
"Church/Synagogue/Temple/Mosque",8
"Convenience Store",8
"Grocery/Supermarket",8
"Commercial/Office Building",7
"Community Center",6
"Shopping Mall",6
"Air/Bus/Train Terminal",5
"Daycare Facility",5
"Amusement Park",4
"Department/Discount Store",4
"Rental Storage Facility",4
"Restaurant",3
"Abandoned/Condemned Structure",2
"Arena/Stadium/Fairgrounds/Coliseum",2
"Auto Dealership New/Used",2
"Industrial Site",2
"Farm Facility",1
"School/College",1
"Service/Gas Station",1
"Tribal Lands",1
"ATM Separate from Bank",0
"Bank/Savings and Loan",0
"Construction Site",0
"Cyberspace",0
"Dock/Wharf/Freight/Modal Terminal",0
"Gambling Facility/Casino/Race Track",0
"Liquor Store",0
"Military Installation",0
"Not Specified",0
"Rest Area",0
