key,value
"Residence/Home",62362
"Highway/Road/Alley/Street/Sidewalk",37163
"Parking/Drop Lot/Garage",11196
"Other/Unknown",10428
"Hotel/Motel/Etc.",3026
"Park/Playground",2786
"School-Elementary/Secondary",2502
"Jail/Prison/Penitentiary/Corrections Facility",2487
"Bar/Nightclub",2251
"Restaurant",2043
"Convenience Store",1698
"Drug Store/Doctor's Office/Hospital",1534
"Commercial/Office Building",1281
"Service/Gas Station",1221
"Construction Site",1055
"Specialty Store",952
"Air/Bus/Train Terminal",925
"Field/Woods",841
"Grocery/Supermarket",825
"Department/Discount Store",753
"School/College",559
"Liquor Store",479
"Government/Public Building",457
"School-College/University",392
"Shopping Mall",388
"Camp/Campground",316
"Lake/Waterway/Beach",211
"Church/Synagogue/Temple/Mosque",189
"Amusement Park",186
"Shelter-Mission/Homeless",150
"Arena/Stadium/Fairgrounds/Coliseum",145
"Rental Storage Facility",120
"Gambling Facility/Casino/Race Track",109
"Bank/Savings and Loan",92
"Abandoned/Condemned Structure",69
"Community Center",67
"Industrial Site",58
"Farm Facility",55
"Dock/Wharf/Freight/Modal Terminal",54
"Auto Dealership New/Used",47
"Daycare Facility",29
"Tribal Lands",29
"Rest Area",23
"ATM Separate from Bank",10
"Military Installation",3
"Cyberspace",0
"Not Specified",0
