key,value
"Residence/Home",64
"Highway/Road/Alley/Street/Sidewalk",16
"Bar/Nightclub",10
"Hotel/Motel/Etc.",8
"Field/Woods",7
"Commercial/Office Building",6
"Other/Unknown",3
"Parking/Drop Lot/Garage",2
"Convenience Store",1
"Park/Playground",1
"Rental Storage Facility",1
"Restaurant",1
"School-Elementary/Secondary",1
"Service/Gas Station",1
"Shopping Mall",1
"Abandoned/Condemned Structure",0
"Air/Bus/Train Terminal",0
"Amusement Park",0
"Arena/Stadium/Fairgrounds/Coliseum",0
"ATM Separate from Bank",0
"Auto Dealership New/Used",0
"Bank/Savings and Loan",0
"Camp/Campground",0
"Church/Synagogue/Temple/Mosque",0
"Community Center",0
"Construction Site",0
"Cyberspace",0
"Daycare Facility",0
"Department/Discount Store",0
"Dock/Wharf/Freight/Modal Terminal",0
"Drug Store/Doctor's Office/Hospital",0
"Farm Facility",0
"Gambling Facility/Casino/Race Track",0
"Government/Public Building",0
"Grocery/Supermarket",0
"Industrial Site",0
"Jail/Prison/Penitentiary/Corrections Facility",0
"Lake/Waterway/Beach",0
"Liquor Store",0
"Military Installation",0
"Not Specified",0
"Rest Area",0
"School-College/University",0
"School/College",0
"Shelter-Mission/Homeless",0
"Specialty Store",0
"Tribal Lands",0
