key,value
"Residence/Home",1491
"Highway/Road/Alley/Street/Sidewalk",1347
"Department/Discount Store",1022
"Restaurant",1021
"Convenience Store",876
"Parking/Drop Lot/Garage",861
"Specialty Store",539
"Service/Gas Station",517
"Commercial/Office Building",371
"Grocery/Supermarket",357
"Hotel/Motel/Etc.",331
"Park/Playground",228
"Bank/Savings and Loan",174
"Other/Unknown",169
"Drug Store/Doctor's Office/Hospital",150
"Shopping Mall",80
"Field/Woods",37
"Air/Bus/Train Terminal",32
"ATM Separate from Bank",28
"Bar/Nightclub",25
"Liquor Store",25
"Government/Public Building",22
"School-College/University",22
"Church/Synagogue/Temple/Mosque",14
"School-Elementary/Secondary",12
"Auto Dealership New/Used",9
"Amusement Park",7
"Rental Storage Facility",7
"Community Center",5
"Gambling Facility/Casino/Race Track",5
"Lake/Waterway/Beach",5
"Rest Area",5
"Abandoned/Condemned Structure",4
"School/College",3
"Shelter-Mission/Homeless",3
"Arena/Stadium/Fairgrounds/Coliseum",2
"Camp/Campground",2
"Construction Site",2
"Industrial Site",2
"Jail/Prison/Penitentiary/Corrections Facility",2
"Cyberspace",0
"Daycare Facility",0
"Dock/Wharf/Freight/Modal Terminal",0
"Farm Facility",0
"Military Installation",0
"Not Specified",0
"Tribal Lands",0
