key,value
"Residence/Home",29535
"Highway/Road/Alley/Street/Sidewalk",16310
"Other/Unknown",6106
"Parking/Drop Lot/Garage",1357
"Grocery/Supermarket",1094
"Shelter-Mission/Homeless",950
"Restaurant",806
"Park/Playground",773
"Bar/Nightclub",770
"Drug Store/Doctor's Office/Hospital",519
"Service/Gas Station",396
"Shopping Mall",395
"School-Elementary/Secondary",373
"Convenience Store",354
"Hotel/Motel/Etc.",319
"Specialty Store",242
"Department/Discount Store",181
"Jail/Prison/Penitentiary/Corrections Facility",172
"Government/Public Building",166
"Air/Bus/Train Terminal",142
"Commercial/Office Building",134
"Liquor Store",52
"Field/Woods",48
"Industrial Site",39
"Rest Area",38
"Bank/Savings and Loan",37
"Church/Synagogue/Temple/Mosque",32
"School-College/University",29
"Construction Site",24
"Rental Storage Facility",20
"Dock/Wharf/Freight/Modal Terminal",14
"Amusement Park",13
"Gambling Facility/Casino/Race Track",13
"Camp/Campground",9
"Abandoned/Condemned Structure",6
"Auto Dealership New/Used",5
"Community Center",5
"Daycare Facility",5
"Arena/Stadium/Fairgrounds/Coliseum",4
"Military Installation",4
"Lake/Waterway/Beach",3
"ATM Separate from Bank",2
"Tribal Lands",1
"Cyberspace",0
"Farm Facility",0
"Not Specified",0
"School/College",0
