key,value
"Residence/Home",50411
"Hotel/Motel/Etc.",3640
"Other/Unknown",3197
"Highway/Road/Alley/Street/Sidewalk",2740
"Parking/Drop Lot/Garage",2039
"School-Elementary/Secondary",1138
"Park/Playground",1021
"Drug Store/Doctor's Office/Hospital",912
"Field/Woods",735
"Commercial/Office Building",684
"Jail/Prison/Penitentiary/Corrections Facility",539
"Bar/Nightclub",470
"Government/Public Building",300
"School-College/University",299
"Restaurant",284
"Specialty Store",284
"School/College",196
"Church/Synagogue/Temple/Mosque",147
"Convenience Store",125
"Lake/Waterway/Beach",117
"Service/Gas Station",115
"Shelter-Mission/Homeless",100
"Daycare Facility",99
"Abandoned/Condemned Structure",87
"Camp/Campground",80
"Air/Bus/Train Terminal",69
"Shopping Mall",64
"Department/Discount Store",60
"Grocery/Supermarket",58
"Rental Storage Facility",56
"Amusement Park",34
"Arena/Stadium/Fairgrounds/Coliseum",31
"Community Center",31
"Rest Area",29
"Construction Site",28
"Industrial Site",17
"Farm Facility",13
"Dock/Wharf/Freight/Modal Terminal",11
"Bank/Savings and Loan",10
"Military Installation",8
"Auto Dealership New/Used",7
"ATM Separate from Bank",6
"Liquor Store",5
"Gambling Facility/Casino/Race Track",4
"Tribal Lands",3
"Cyberspace",0
"Not Specified",0
