key,value
"Residence/Home",317
"Highway/Road/Alley/Street/Sidewalk",192
"Hotel/Motel/Etc.",47
"Parking/Drop Lot/Garage",42
"Department/Discount Store",40
"Convenience Store",38
"Grocery/Supermarket",34
"Restaurant",33
"Park/Playground",30
"Bar/Nightclub",29
"Service/Gas Station",25
"Liquor Store",23
"Specialty Store",21
"Other/Unknown",15
"Bank/Savings and Loan",11
"Shopping Mall",9
"Drug Store/Doctor's Office/Hospital",6
"Commercial/Office Building",5
"Government/Public Building",5
"Air/Bus/Train Terminal",4
"Community Center",4
"Shelter-Mission/Homeless",3
"Arena/Stadium/Fairgrounds/Coliseum",2
"Church/Synagogue/Temple/Mosque",2
"Abandoned/Condemned Structure",1
"Auto Dealership New/Used",1
"Camp/Campground",1
"Construction Site",1
"Field/Woods",1
"Rental Storage Facility",1
"School-College/University",1
"School-Elementary/Secondary",1
"Amusement Park",0
"ATM Separate from Bank",0
"Cyberspace",0
"Daycare Facility",0
"Dock/Wharf/Freight/Modal Terminal",0
"Farm Facility",0
"Gambling Facility/Casino/Race Track",0
"Industrial Site",0
"Jail/Prison/Penitentiary/Corrections Facility",0
"Lake/Waterway/Beach",0
"Military Installation",0
"Not Specified",0
"Rest Area",0
"School/College",0
"Tribal Lands",0
