key,value
"Highway/Road/Alley/Street/Sidewalk",243
"Residence/Home",231
"Convenience Store",160
"Department/Discount Store",111
"Parking/Drop Lot/Garage",61
"Other/Unknown",55
"Specialty Store",50
"Service/Gas Station",42
"Bank/Savings and Loan",39
"Grocery/Supermarket",36
"Park/Playground",32
"Commercial/Office Building",28
"Restaurant",23
"Hotel/Motel/Etc.",22
"Field/Woods",19
"Drug Store/Doctor's Office/Hospital",18
"Shopping Mall",17
"School-Elementary/Secondary",14
"Government/Public Building",10
"Liquor Store",10
"Bar/Nightclub",4
"Church/Synagogue/Temple/Mosque",4
"Rental Storage Facility",3
"Shelter-Mission/Homeless",3
"Air/Bus/Train Terminal",2
"Gambling Facility/Casino/Race Track",2
"School-College/University",2
"Auto Dealership New/Used",1
"Construction Site",1
"Lake/Waterway/Beach",1
"Rest Area",1
"Abandoned/Condemned Structure",0
"Amusement Park",0
"Arena/Stadium/Fairgrounds/Coliseum",0
"ATM Separate from Bank",0
"Camp/Campground",0
"Community Center",0
"Cyberspace",0
"Daycare Facility",0
"Dock/Wharf/Freight/Modal Terminal",0
"Farm Facility",0
"Industrial Site",0
"Jail/Prison/Penitentiary/Corrections Facility",0
"Military Installation",0
"Not Specified",0
"School/College",0
"Tribal Lands",0
