key,value
"Residence/Home",17287
"Highway/Road/Alley/Street/Sidewalk",7642
"Parking/Drop Lot/Garage",2433
"Tribal Lands",1241
"Park/Playground",633
"Hotel/Motel/Etc.",623
"Other/Unknown",618
"Drug Store/Doctor's Office/Hospital",536
"Jail/Prison/Penitentiary/Corrections Facility",480
"Bar/Nightclub",402
"School-Elementary/Secondary",391
"Convenience Store",386
"Field/Woods",380
"Restaurant",352
"Service/Gas Station",276
"Commercial/Office Building",165
"Grocery/Supermarket",145
"School/College",140
"Air/Bus/Train Terminal",138
"Department/Discount Store",122
"Specialty Store",115
"Government/Public Building",103
"School-College/University",74
"Camp/Campground",67
"Shopping Mall",64
"Gambling Facility/Casino/Race Track",51
"Shelter-Mission/Homeless",45
"Rental Storage Facility",42
"Construction Site",38
"Church/Synagogue/Temple/Mosque",36
"Lake/Waterway/Beach",32
"Daycare Facility",27
"Liquor Store",26
"Community Center",20
"Auto Dealership New/Used",18
"Arena/Stadium/Fairgrounds/Coliseum",15
"Bank/Savings and Loan",15
"Industrial Site",15
"Military Installation",14
"Rest Area",11
"Amusement Park",8
"Abandoned/Condemned Structure",7
"ATM Separate from Bank",3
"Farm Facility",3
"Dock/Wharf/Freight/Modal Terminal",1
"Cyberspace",0
"Not Specified",0
