key,value
"Residence/Home",2268
"Highway/Road/Alley/Street/Sidewalk",400
"Hotel/Motel/Etc.",143
"Other/Unknown",100
"Parking/Drop Lot/Garage",79
"Bar/Nightclub",59
"Convenience Store",57
"Field/Woods",47
"Restaurant",42
"Commercial/Office Building",33
"Government/Public Building",32
"Drug Store/Doctor's Office/Hospital",31
"School-Elementary/Secondary",27
"Park/Playground",19
"Specialty Store",16
"Department/Discount Store",15
"Jail/Prison/Penitentiary/Corrections Facility",15
"Camp/Campground",14
"Service/Gas Station",12
"Shelter-Mission/Homeless",12
"Grocery/Supermarket",8
"Lake/Waterway/Beach",8
"School/College",7
"Air/Bus/Train Terminal",6
"School-College/University",5
"Construction Site",4
"Bank/Savings and Loan",2
"Church/Synagogue/Temple/Mosque",2
"Daycare Facility",1
"Dock/Wharf/Freight/Modal Terminal",1
"Farm Facility",1
"Gambling Facility/Casino/Race Track",1
"Liquor Store",1
"Rental Storage Facility",1
"Abandoned/Condemned Structure",0
"Amusement Park",0
"Arena/Stadium/Fairgrounds/Coliseum",0
"ATM Separate from Bank",0
"Auto Dealership New/Used",0
"Community Center",0
"Cyberspace",0
"Industrial Site",0
"Military Installation",0
"Not Specified",0
"Rest Area",0
"Shopping Mall",0
"Tribal Lands",0
