key,value
"Residence/Home",109392
"Highway/Road/Alley/Street/Sidewalk",36188
"Parking/Drop Lot/Garage",8788
"Service/Gas Station",2752
"Other/Unknown",2454
"Hotel/Motel/Etc.",2439
"Bar/Nightclub",1913
"School-Elementary/Secondary",1812
"Jail/Prison/Penitentiary/Corrections Facility",1745
"Restaurant",1531
"Park/Playground",1429
"Convenience Store",1221
"Drug Store/Doctor's Office/Hospital",1025
"Liquor Store",795
"Field/Woods",633
"Commercial/Office Building",622
"Department/Discount Store",533
"Government/Public Building",437
"Grocery/Supermarket",427
"Specialty Store",392
"Air/Bus/Train Terminal",314
"Rest Area",276
"Shelter-Mission/Homeless",269
"Camp/Campground",200
"Church/Synagogue/Temple/Mosque",177
"School-College/University",159
"Rental Storage Facility",150
"Industrial Site",126
"Shopping Mall",120
"Lake/Waterway/Beach",97
"Arena/Stadium/Fairgrounds/Coliseum",73
"Gambling Facility/Casino/Race Track",63
"Construction Site",60
"Auto Dealership New/Used",58
"Bank/Savings and Loan",50
"Community Center",34
"Abandoned/Condemned Structure",32
"Daycare Facility",26
"Dock/Wharf/Freight/Modal Terminal",26
"Amusement Park",22
"Tribal Lands",15
"Farm Facility",14
"ATM Separate from Bank",9
"Military Installation",2
"Cyberspace",0
"Not Specified",0
"School/College",0
