key,value
"Highway/Road/Alley/Street/Sidewalk",58601
"Residence/Home",22163
"Parking/Drop Lot/Garage",8936
"School-Elementary/Secondary",3619
"Jail/Prison/Penitentiary/Corrections Facility",2993
"Hotel/Motel/Etc.",2761
"Service/Gas Station",2289
"Other/Unknown",1197
"Department/Discount Store",1132
"Drug Store/Doctor's Office/Hospital",1032
"Convenience Store",1025
"Government/Public Building",821
"Grocery/Supermarket",724
"Gambling Facility/Casino/Race Track",629
"Park/Playground",600
"Restaurant",507
"Commercial/Office Building",444
"Air/Bus/Train Terminal",400
"Field/Woods",368
"Specialty Store",358
"Liquor Store",228
"Rest Area",199
"Bar/Nightclub",190
"Tribal Lands",176
"School-College/University",174
"Rental Storage Facility",139
"Shopping Mall",92
"Camp/Campground",78
"Church/Synagogue/Temple/Mosque",71
"Industrial Site",71
"Shelter-Mission/Homeless",66
"Bank/Savings and Loan",63
"Abandoned/Condemned Structure",56
"Arena/Stadium/Fairgrounds/Coliseum",48
"Lake/Waterway/Beach",46
"Auto Dealership New/Used",22
"Construction Site",19
"Dock/Wharf/Freight/Modal Terminal",19
"Community Center",11
"Daycare Facility",8
"Farm Facility",8
"Cyberspace",5
"Amusement Park",2
"ATM Separate from Bank",2
"Military Installation",0
"Not Specified",0
"School/College",0
