key,value
"Residence/Home",16656
"Highway/Road/Alley/Street/Sidewalk",4965
"Parking/Drop Lot/Garage",2377
"Commercial/Office Building",1613
"Park/Playground",1228
"Other/Unknown",969
"Field/Woods",800
"Specialty Store",720
"School-Elementary/Secondary",630
"Government/Public Building",621
"Restaurant",477
"Hotel/Motel/Etc.",437
"Church/Synagogue/Temple/Mosque",435
"Construction Site",431
"School/College",415
"Bar/Nightclub",329
"Rental Storage Facility",314
"Jail/Prison/Penitentiary/Corrections Facility",290
"Lake/Waterway/Beach",287
"Drug Store/Doctor's Office/Hospital",261
"Department/Discount Store",245
"Convenience Store",235
"Grocery/Supermarket",218
"Service/Gas Station",210
"School-College/University",158
"Bank/Savings and Loan",86
"Auto Dealership New/Used",76
"Community Center",64
"Farm Facility",60
"Air/Bus/Train Terminal",57
"Camp/Campground",42
"Industrial Site",39
"Shopping Mall",33
"Shelter-Mission/Homeless",31
"Abandoned/Condemned Structure",29
"Arena/Stadium/Fairgrounds/Coliseum",29
"Gambling Facility/Casino/Race Track",22
"Amusement Park",18
"Daycare Facility",15
"Dock/Wharf/Freight/Modal Terminal",12
"Liquor Store",12
"Rest Area",12
"ATM Separate from Bank",6
"Military Installation",4
"Tribal Lands",4
"Cyberspace",1
"Not Specified",0
