key,value
"Residence/Home",370
"Highway/Road/Alley/Street/Sidewalk",161
"Parking/Drop Lot/Garage",51
"Field/Woods",28
"Tribal Lands",23
"Other/Unknown",14
"Bar/Nightclub",11
"Park/Playground",9
"Hotel/Motel/Etc.",8
"Convenience Store",6
"Service/Gas Station",6
"Auto Dealership New/Used",4
"Commercial/Office Building",3
"Industrial Site",3
"Abandoned/Condemned Structure",2
"Air/Bus/Train Terminal",2
"Camp/Campground",2
"Church/Synagogue/Temple/Mosque",2
"Gambling Facility/Casino/Race Track",2
"Grocery/Supermarket",2
"Jail/Prison/Penitentiary/Corrections Facility",2
"Restaurant",2
"Specialty Store",2
"Construction Site",1
"Department/Discount Store",1
"Drug Store/Doctor's Office/Hospital",1
"Rental Storage Facility",1
"School/College",1
"Shopping Mall",1
"Amusement Park",0
"Arena/Stadium/Fairgrounds/Coliseum",0
"ATM Separate from Bank",0
"Bank/Savings and Loan",0
"Community Center",0
"Cyberspace",0
"Daycare Facility",0
"Dock/Wharf/Freight/Modal Terminal",0
"Farm Facility",0
"Government/Public Building",0
"Lake/Waterway/Beach",0
"Liquor Store",0
"Military Installation",0
"Not Specified",0
"Rest Area",0
"School-College/University",0
"School-Elementary/Secondary",0
"Shelter-Mission/Homeless",0
