key,value
"Highway/Road/Alley/Street/Sidewalk",6648
"Residence/Home",3549
"Parking/Drop Lot/Garage",3000
"Grocery/Supermarket",2568
"Convenience Store",2483
"Department/Discount Store",2357
"Specialty Store",1672
"Service/Gas Station",1239
"Restaurant",848
"Other/Unknown",810
"Park/Playground",723
"Bank/Savings and Loan",681
"Commercial/Office Building",659
"Drug Store/Doctor's Office/Hospital",569
"Hotel/Motel/Etc.",518
"Shopping Mall",314
"Air/Bus/Train Terminal",259
"Field/Woods",142
"School-Elementary/Secondary",128
"Bar/Nightclub",123
"Liquor Store",86
"Government/Public Building",71
"Shelter-Mission/Homeless",70
"ATM Separate from Bank",60
"School-College/University",57
"Camp/Campground",52
"Church/Synagogue/Temple/Mosque",50
"Gambling Facility/Casino/Race Track",47
"Tribal Lands",36
"School/College",28
"Rental Storage Facility",25
"Community Center",22
"Lake/Waterway/Beach",18
"Auto Dealership New/Used",17
"Industrial Site",13
"Construction Site",11
"Arena/Stadium/Fairgrounds/Coliseum",10
"Jail/Prison/Penitentiary/Corrections Facility",10
"Farm Facility",6
"Abandoned/Condemned Structure",5
"Daycare Facility",5
"Rest Area",5
"Dock/Wharf/Freight/Modal Terminal",3
"Amusement Park",1
"Cyberspace",0
"Military Installation",0
"Not Specified",0
