key,value
"Highway/Road/Alley/Street/Sidewalk",10137
"Residence/Home",4125
"Parking/Drop Lot/Garage",2034
"School-Elementary/Secondary",1280
"Jail/Prison/Penitentiary/Corrections Facility",1183
"Other/Unknown",834
"Government/Public Building",819
"Department/Discount Store",805
"Hotel/Motel/Etc.",735
"Convenience Store",716
"Service/Gas Station",673
"Commercial/Office Building",521
"Park/Playground",473
"School-College/University",458
"Grocery/Supermarket",373
"Gambling Facility/Casino/Race Track",335
"Restaurant",310
"Specialty Store",254
"Drug Store/Doctor's Office/Hospital",213
"School/College",189
"Field/Woods",174
"Air/Bus/Train Terminal",160
"Abandoned/Condemned Structure",108
"Shopping Mall",99
"Church/Synagogue/Temple/Mosque",52
"Tribal Lands",45
"Bank/Savings and Loan",39
"Auto Dealership New/Used",31
"Rental Storage Facility",30
"Bar/Nightclub",25
"Shelter-Mission/Homeless",20
"Industrial Site",15
"Lake/Waterway/Beach",15
"Construction Site",13
"Liquor Store",10
"Camp/Campground",6
"Community Center",6
"Arena/Stadium/Fairgrounds/Coliseum",4
"Farm Facility",3
"Rest Area",3
"Amusement Park",2
"ATM Separate from Bank",2
"Military Installation",2
"Daycare Facility",1
"Cyberspace",0
"Dock/Wharf/Freight/Modal Terminal",0
"Not Specified",0
