key,value
"Highway/Road/Alley/Street/Sidewalk",308
"Residence/Home",242
"Parking/Drop Lot/Garage",100
"Convenience Store",90
"Grocery/Supermarket",90
"Department/Discount Store",69
"Hotel/Motel/Etc.",60
"Park/Playground",59
"Specialty Store",57
"Bar/Nightclub",43
"Service/Gas Station",42
"Gambling Facility/Casino/Race Track",41
"Other/Unknown",24
"Restaurant",21
"Bank/Savings and Loan",14
"Liquor Store",14
"Commercial/Office Building",7
"Drug Store/Doctor's Office/Hospital",6
"Shelter-Mission/Homeless",6
"Air/Bus/Train Terminal",5
"Field/Woods",5
"School-Elementary/Secondary",5
"Arena/Stadium/Fairgrounds/Coliseum",4
"Shopping Mall",4
"Camp/Campground",3
"Community Center",3
"Abandoned/Condemned Structure",2
"Auto Dealership New/Used",2
"Rental Storage Facility",2
"Amusement Park",1
"ATM Separate from Bank",1
"Church/Synagogue/Temple/Mosque",1
"Dock/Wharf/Freight/Modal Terminal",1
"Government/Public Building",1
"Industrial Site",1
"Lake/Waterway/Beach",1
"School-College/University",1
"School/College",1
"Construction Site",0
"Cyberspace",0
"Daycare Facility",0
"Farm Facility",0
"Jail/Prison/Penitentiary/Corrections Facility",0
"Military Installation",0
"Not Specified",0
"Rest Area",0
"Tribal Lands",0
