key,value
"Residence/Home",10880
"Other/Unknown",945
"Highway/Road/Alley/Street/Sidewalk",907
"Hotel/Motel/Etc.",722
"Parking/Drop Lot/Garage",576
"Park/Playground",417
"Field/Woods",271
"Drug Store/Doctor's Office/Hospital",239
"School-Elementary/Secondary",212
"Jail/Prison/Penitentiary/Corrections Facility",126
"Government/Public Building",91
"Bar/Nightclub",81
"Commercial/Office Building",77
"Camp/Campground",76
"School-College/University",62
"School/College",61
"Restaurant",55
"Shelter-Mission/Homeless",53
"Specialty Store",39
"Church/Synagogue/Temple/Mosque",37
"Department/Discount Store",35
"Air/Bus/Train Terminal",27
"Shopping Mall",27
"Lake/Waterway/Beach",25
"Convenience Store",23
"Grocery/Supermarket",22
"Tribal Lands",21
"Community Center",19
"Daycare Facility",19
"Farm Facility",19
"Service/Gas Station",17
"Rental Storage Facility",16
"Abandoned/Condemned Structure",15
"Construction Site",15
"Gambling Facility/Casino/Race Track",13
"Amusement Park",9
"Rest Area",9
"Arena/Stadium/Fairgrounds/Coliseum",8
"Dock/Wharf/Freight/Modal Terminal",6
"Bank/Savings and Loan",4
"Auto Dealership New/Used",3
"Industrial Site",3
"Liquor Store",3
"Military Installation",3
"ATM Separate from Bank",2
"Cyberspace",0
"Not Specified",0
