key,value
"Residence/Home",27194
"Highway/Road/Alley/Street/Sidewalk",9084
"Parking/Drop Lot/Garage",3342
"Hotel/Motel/Etc.",1389
"Convenience Store",989
"Restaurant",934
"Park/Playground",868
"Service/Gas Station",852
"Other/Unknown",838
"Department/Discount Store",724
"Commercial/Office Building",705
"Grocery/Supermarket",531
"Drug Store/Doctor's Office/Hospital",491
"Specialty Store",388
"Bar/Nightclub",296
"School-Elementary/Secondary",252
"Jail/Prison/Penitentiary/Corrections Facility",244
"Field/Woods",218
"Government/Public Building",204
"Air/Bus/Train Terminal",129
"School-College/University",118
"Shopping Mall",116
"Shelter-Mission/Homeless",86
"Church/Synagogue/Temple/Mosque",68
"Liquor Store",59
"Rental Storage Facility",55
"Community Center",43
"Bank/Savings and Loan",40
"School/College",38
"Auto Dealership New/Used",34
"Lake/Waterway/Beach",30
"Construction Site",28
"Gambling Facility/Casino/Race Track",26
"Arena/Stadium/Fairgrounds/Coliseum",24
"Camp/Campground",21
"Daycare Facility",20
"Industrial Site",19
"Tribal Lands",16
"Amusement Park",15
"Abandoned/Condemned Structure",12
"ATM Separate from Bank",12
"Farm Facility",10
"Rest Area",7
"Dock/Wharf/Freight/Modal Terminal",1
"Cyberspace",0
"Military Installation",0
"Not Specified",0
