key,value
"Residence/Home",3389
"Highway/Road/Alley/Street/Sidewalk",258
"Other/Unknown",255
"Hotel/Motel/Etc.",254
"Park/Playground",126
"Drug Store/Doctor's Office/Hospital",123
"Parking/Drop Lot/Garage",123
"Field/Woods",59
"Jail/Prison/Penitentiary/Corrections Facility",59
"Government/Public Building",49
"School-Elementary/Secondary",49
"Commercial/Office Building",47
"School-College/University",41
"Bar/Nightclub",26
"School/College",21
"Restaurant",20
"Service/Gas Station",18
"Specialty Store",15
"Air/Bus/Train Terminal",10
"Shelter-Mission/Homeless",10
"Community Center",9
"Department/Discount Store",9
"Lake/Waterway/Beach",9
"Gambling Facility/Casino/Race Track",8
"Abandoned/Condemned Structure",7
"Church/Synagogue/Temple/Mosque",7
"Convenience Store",7
"Grocery/Supermarket",7
"Daycare Facility",6
"Rental Storage Facility",6
"Arena/Stadium/Fairgrounds/Coliseum",3
"Camp/Campground",3
"Shopping Mall",2
"Bank/Savings and Loan",1
"Dock/Wharf/Freight/Modal Terminal",1
"Industrial Site",1
"Amusement Park",0
"ATM Separate from Bank",0
"Auto Dealership New/Used",0
"Construction Site",0
"Cyberspace",0
"Farm Facility",0
"Liquor Store",0
"Military Installation",0
"Not Specified",0
"Rest Area",0
"Tribal Lands",0
