key,value
"Residence/Home",3960
"Hotel/Motel/Etc.",234
"Highway/Road/Alley/Street/Sidewalk",212
"Other/Unknown",156
"Field/Woods",122
"Park/Playground",115
"Parking/Drop Lot/Garage",106
"School-Elementary/Secondary",74
"Drug Store/Doctor's Office/Hospital",47
"Bar/Nightclub",45
"School/College",35
"Jail/Prison/Penitentiary/Corrections Facility",33
"Lake/Waterway/Beach",24
"Commercial/Office Building",22
"Restaurant",22
"Camp/Campground",18
"Government/Public Building",18
"Specialty Store",18
"Church/Synagogue/Temple/Mosque",16
"Department/Discount Store",13
"School-College/University",12
"Community Center",8
"Convenience Store",7
"Daycare Facility",6
"Shelter-Mission/Homeless",6
"Service/Gas Station",5
"Arena/Stadium/Fairgrounds/Coliseum",4
"Construction Site",4
"Gambling Facility/Casino/Race Track",4
"Rental Storage Facility",4
"Amusement Park",3
"Grocery/Supermarket",3
"Rest Area",3
"Air/Bus/Train Terminal",2
"ATM Separate from Bank",1
"Farm Facility",1
"Industrial Site",1
"Military Installation",1
"Shopping Mall",1
"Tribal Lands",1
"Abandoned/Condemned Structure",0
"Auto Dealership New/Used",0
"Bank/Savings and Loan",0
"Cyberspace",0
"Dock/Wharf/Freight/Modal Terminal",0
"Liquor Store",0
"Not Specified",0
