key,value
"Residence/Home",1430
"Hotel/Motel/Etc.",116
"Government/Public Building",96
"Other/Unknown",86
"Highway/Road/Alley/Street/Sidewalk",54
"Field/Woods",52
"Drug Store/Doctor's Office/Hospital",38
"School/College",36
"Commercial/Office Building",31
"School-Elementary/Secondary",29
"Camp/Campground",23
"Parking/Drop Lot/Garage",22
"Jail/Prison/Penitentiary/Corrections Facility",20
"School-College/University",14
"Park/Playground",13
"Restaurant",12
"Convenience Store",11
"Bar/Nightclub",9
"Department/Discount Store",8
"Church/Synagogue/Temple/Mosque",6
"Lake/Waterway/Beach",6
"Specialty Store",6
"Construction Site",4
"Grocery/Supermarket",3
"Service/Gas Station",2
"Shelter-Mission/Homeless",2
"Shopping Mall",2
"Abandoned/Condemned Structure",1
"Air/Bus/Train Terminal",1
"Amusement Park",1
"Community Center",1
"Daycare Facility",1
"Dock/Wharf/Freight/Modal Terminal",1
"Farm Facility",1
"Rest Area",1
"Arena/Stadium/Fairgrounds/Coliseum",0
"ATM Separate from Bank",0
"Auto Dealership New/Used",0
"Bank/Savings and Loan",0
"Cyberspace",0
"Gambling Facility/Casino/Race Track",0
"Industrial Site",0
"Liquor Store",0
"Military Installation",0
"Not Specified",0
"Rental Storage Facility",0
"Tribal Lands",0
