key,value
"Highway/Road/Alley/Street/Sidewalk",7455
"Parking/Drop Lot/Garage",1656
"Residence/Home",1405
"Air/Bus/Train Terminal",557
"Service/Gas Station",418
"Convenience Store",417
"Department/Discount Store",379
"Park/Playground",364
"Specialty Store",266
"Restaurant",238
"Grocery/Supermarket",204
"Other/Unknown",176
"Hotel/Motel/Etc.",142
"Bank/Savings and Loan",138
"Bar/Nightclub",119
"Liquor Store",111
"Commercial/Office Building",99
"Shopping Mall",95
"Drug Store/Doctor's Office/Hospital",68
"School-Elementary/Secondary",52
"ATM Separate from Bank",16
"School-College/University",16
"Shelter-Mission/Homeless",16
"Field/Woods",13
"Government/Public Building",13
"Church/Synagogue/Temple/Mosque",12
"Auto Dealership New/Used",10
"Gambling Facility/Casino/Race Track",9
"School/College",7
"Amusement Park",6
"Arena/Stadium/Fairgrounds/Coliseum",6
"Community Center",5
"Rental Storage Facility",5
"Abandoned/Condemned Structure",4
"Jail/Prison/Penitentiary/Corrections Facility",4
"Daycare Facility",3
"Construction Site",2
"Lake/Waterway/Beach",2
"Industrial Site",1
"Military Installation",1
"Rest Area",1
"Camp/Campground",0
"Cyberspace",0
"Dock/Wharf/Freight/Modal Terminal",0
"Farm Facility",0
"Not Specified",0
"Tribal Lands",0
