key,value
"Residence/Home",248
"Highway/Road/Alley/Street/Sidewalk",177
"Convenience Store",57
"Parking/Drop Lot/Garage",52
"Park/Playground",37
"Specialty Store",33
"Department/Discount Store",31
"Hotel/Motel/Etc.",31
"Bank/Savings and Loan",27
"Restaurant",24
"Grocery/Supermarket",21
"Service/Gas Station",20
"Field/Woods",14
"Drug Store/Doctor's Office/Hospital",12
"Bar/Nightclub",11
"Commercial/Office Building",8
"Shopping Mall",8
"School-Elementary/Secondary",7
"Other/Unknown",4
"Air/Bus/Train Terminal",2
"Farm Facility",2
"Gambling Facility/Casino/Race Track",2
"Government/Public Building",2
"Lake/Waterway/Beach",2
"School-College/University",2
"School/College",2
"ATM Separate from Bank",1
"Auto Dealership New/Used",1
"Church/Synagogue/Temple/Mosque",1
"Construction Site",1
"Rental Storage Facility",1
"Rest Area",1
"Shelter-Mission/Homeless",1
"Abandoned/Condemned Structure",0
"Amusement Park",0
"Arena/Stadium/Fairgrounds/Coliseum",0
"Camp/Campground",0
"Community Center",0
"Cyberspace",0
"Daycare Facility",0
"Dock/Wharf/Freight/Modal Terminal",0
"Industrial Site",0
"Jail/Prison/Penitentiary/Corrections Facility",0
"Liquor Store",0
"Military Installation",0
"Not Specified",0
"Tribal Lands",0
