key,value
"Residence/Home",11510
"Other/Unknown",2181
"Highway/Road/Alley/Street/Sidewalk",1350
"Hotel/Motel/Etc.",1153
"Parking/Drop Lot/Garage",732
"Park/Playground",479
"School-Elementary/Secondary",438
"Drug Store/Doctor's Office/Hospital",334
"School-College/University",228
"Field/Woods",171
"Commercial/Office Building",126
"Bar/Nightclub",114
"Construction Site",85
"Jail/Prison/Penitentiary/Corrections Facility",78
"Restaurant",65
"School/College",64
"Government/Public Building",56
"Air/Bus/Train Terminal",52
"Camp/Campground",52
"Lake/Waterway/Beach",52
"Specialty Store",48
"Church/Synagogue/Temple/Mosque",44
"Amusement Park",40
"Shelter-Mission/Homeless",34
"Shopping Mall",34
"Convenience Store",31
"Abandoned/Condemned Structure",29
"Grocery/Supermarket",21
"Daycare Facility",18
"Farm Facility",15
"Service/Gas Station",14
"Rental Storage Facility",11
"Arena/Stadium/Fairgrounds/Coliseum",10
"Community Center",10
"Department/Discount Store",9
"Liquor Store",7
"Gambling Facility/Casino/Race Track",5
"Rest Area",5
"Industrial Site",4
"Auto Dealership New/Used",3
"Dock/Wharf/Freight/Modal Terminal",3
"ATM Separate from Bank",2
"Bank/Savings and Loan",2
"Tribal Lands",2
"Military Installation",1
"Cyberspace",0
"Not Specified",0
