key,value
"Residence/Home",423
"Highway/Road/Alley/Street/Sidewalk",194
"Parking/Drop Lot/Garage",70
"Hotel/Motel/Etc.",31
"Park/Playground",28
"Field/Woods",26
"Service/Gas Station",21
"Other/Unknown",17
"Restaurant",12
"Commercial/Office Building",11
"Drug Store/Doctor's Office/Hospital",9
"Bar/Nightclub",8
"Convenience Store",8
"Jail/Prison/Penitentiary/Corrections Facility",6
"Government/Public Building",5
"Grocery/Supermarket",5
"Specialty Store",4
"Camp/Campground",2
"Church/Synagogue/Temple/Mosque",2
"Department/Discount Store",2
"Farm Facility",2
"Lake/Waterway/Beach",2
"Liquor Store",2
"Abandoned/Condemned Structure",1
"Air/Bus/Train Terminal",1
"Arena/Stadium/Fairgrounds/Coliseum",1
"Bank/Savings and Loan",1
"Community Center",1
"Industrial Site",1
"School-Elementary/Secondary",1
"School/College",1
"Amusement Park",0
"ATM Separate from Bank",0
"Auto Dealership New/Used",0
"Construction Site",0
"Cyberspace",0
"Daycare Facility",0
"Dock/Wharf/Freight/Modal Terminal",0
"Gambling Facility/Casino/Race Track",0
"Military Installation",0
"Not Specified",0
"Rental Storage Facility",0
"Rest Area",0
"School-College/University",0
"Shelter-Mission/Homeless",0
"Shopping Mall",0
"Tribal Lands",0
