key,value
"Highway/Road/Alley/Street/Sidewalk",196438
"Residence/Home",129152
"Parking/Drop Lot/Garage",74952
"Convenience Store",49211
"Department/Discount Store",30303
"Service/Gas Station",29494
"Other/Unknown",21993
"Specialty Store",20795
"Restaurant",18571
"Grocery/Supermarket",17898
"Hotel/Motel/Etc.",15283
"Park/Playground",12533
"Bank/Savings and Loan",10577
"Commercial/Office Building",10355
"Drug Store/Doctor's Office/Hospital",6828
"Air/Bus/Train Terminal",6370
"Bar/Nightclub",4687
"Shopping Mall",4493
"Liquor Store",4082
"Field/Woods",4029
"School-Elementary/Secondary",2885
"Gambling Facility/Casino/Race Track",1761
"Government/Public Building",1326
"ATM Separate from Bank",1145
"Church/Synagogue/Temple/Mosque",951
"School-College/University",798
"Construction Site",775
"Shelter-Mission/Homeless",535
"Auto Dealership New/Used",504
"Dock/Wharf/Freight/Modal Terminal",497
"Rental Storage Facility",491
"School/College",429
"Community Center",396
"Abandoned/Condemned Structure",390
"Lake/Waterway/Beach",357
"Camp/Campground",315
"Jail/Prison/Penitentiary/Corrections Facility",313
"Rest Area",258
"Industrial Site",221
"Arena/Stadium/Fairgrounds/Coliseum",194
"Amusement Park",183
"Tribal Lands",84
"Daycare Facility",68
"Farm Facility",61
"Military Installation",9
"Cyberspace",0
"Not Specified",0
