key,value
"Residence/Home",10046
"Highway/Road/Alley/Street/Sidewalk",2926
"Parking/Drop Lot/Garage",588
"Bar/Nightclub",553
"Hotel/Motel/Etc.",327
"Jail/Prison/Penitentiary/Corrections Facility",303
"Field/Woods",267
"Drug Store/Doctor's Office/Hospital",239
"Park/Playground",228
"School-Elementary/Secondary",218
"Other/Unknown",190
"Restaurant",167
"Convenience Store",115
"School/College",111
"Commercial/Office Building",103
"Service/Gas Station",88
"Grocery/Supermarket",83
"Government/Public Building",69
"Department/Discount Store",66
"Specialty Store",58
"Lake/Waterway/Beach",49
"Camp/Campground",46
"Church/Synagogue/Temple/Mosque",25
"Rental Storage Facility",24
"Construction Site",23
"Shelter-Mission/Homeless",23
"Bank/Savings and Loan",18
"Arena/Stadium/Fairgrounds/Coliseum",15
"Shopping Mall",14
"Farm Facility",13
"School-College/University",13
"Community Center",12
"Air/Bus/Train Terminal",10
"Amusement Park",10
"Liquor Store",8
"Industrial Site",6
"Gambling Facility/Casino/Race Track",5
"Auto Dealership New/Used",4
"Dock/Wharf/Freight/Modal Terminal",4
"Daycare Facility",3
"Rest Area",3
"Tribal Lands",1
"Abandoned/Condemned Structure",0
"ATM Separate from Bank",0
"Cyberspace",0
"Military Installation",0
"Not Specified",0
