key,value
"Highway/Road/Alley/Street/Sidewalk",10426
"Residence/Home",4488
"Other/Unknown",3109
"Grocery/Supermarket",1076
"Parking/Drop Lot/Garage",741
"Park/Playground",645
"Convenience Store",528
"Service/Gas Station",507
"Department/Discount Store",494
"Specialty Store",416
"Restaurant",388
"Shopping Mall",372
"Bank/Savings and Loan",261
"Drug Store/Doctor's Office/Hospital",260
"Hotel/Motel/Etc.",161
"Bar/Nightclub",112
"Commercial/Office Building",85
"Shelter-Mission/Homeless",85
"Air/Bus/Train Terminal",77
"Liquor Store",69
"School-Elementary/Secondary",54
"ATM Separate from Bank",41
"Government/Public Building",36
"Rest Area",24
"School-College/University",17
"Gambling Facility/Casino/Race Track",14
"Church/Synagogue/Temple/Mosque",12
"Field/Woods",12
"Jail/Prison/Penitentiary/Corrections Facility",7
"Construction Site",6
"Industrial Site",5
"Rental Storage Facility",4
"Abandoned/Condemned Structure",3
"Lake/Waterway/Beach",3
"Amusement Park",2
"Community Center",2
"Dock/Wharf/Freight/Modal Terminal",2
"Arena/Stadium/Fairgrounds/Coliseum",1
"Auto Dealership New/Used",1
"Daycare Facility",1
"Farm Facility",1
"Camp/Campground",0
"Cyberspace",0
"Military Installation",0
"Not Specified",0
"School/College",0
"Tribal Lands",0
