key,value
"Residence/Home",125
"Highway/Road/Alley/Street/Sidewalk",34
"Bar/Nightclub",12
"Field/Woods",7
"Parking/Drop Lot/Garage",6
"Park/Playground",4
"Camp/Campground",3
"Gambling Facility/Casino/Race Track",3
"Hotel/Motel/Etc.",3
"Convenience Store",2
"Government/Public Building",2
"Amusement Park",1
"Commercial/Office Building",1
"Drug Store/Doctor's Office/Hospital",1
"Grocery/Supermarket",1
"Jail/Prison/Penitentiary/Corrections Facility",1
"Lake/Waterway/Beach",1
"Other/Unknown",1
"Service/Gas Station",1
"Tribal Lands",1
"Abandoned/Condemned Structure",0
"Air/Bus/Train Terminal",0
"Arena/Stadium/Fairgrounds/Coliseum",0
"ATM Separate from Bank",0
"Auto Dealership New/Used",0
"Bank/Savings and Loan",0
"Church/Synagogue/Temple/Mosque",0
"Community Center",0
"Construction Site",0
"Cyberspace",0
"Daycare Facility",0
"Department/Discount Store",0
"Dock/Wharf/Freight/Modal Terminal",0
"Farm Facility",0
"Industrial Site",0
"Liquor Store",0
"Military Installation",0
"Not Specified",0
"Rental Storage Facility",0
"Rest Area",0
"Restaurant",0
"School-College/University",0
"School-Elementary/Secondary",0
"School/College",0
"Shelter-Mission/Homeless",0
"Shopping Mall",0
"Specialty Store",0
