key,value
"Highway/Road/Alley/Street/Sidewalk",11079
"Residence/Home",4839
"Parking/Drop Lot/Garage",4604
"Convenience Store",3738
"Department/Discount Store",3284
"Specialty Store",2752
"Other/Unknown",2189
"Grocery/Supermarket",2097
"Service/Gas Station",1464
"Commercial/Office Building",1362
"Restaurant",1142
"Park/Playground",1100
"Hotel/Motel/Etc.",755
"Liquor Store",745
"Shopping Mall",693
"Bank/Savings and Loan",635
"Drug Store/Doctor's Office/Hospital",556
"Air/Bus/Train Terminal",470
"School-Elementary/Secondary",411
"Construction Site",241
"Bar/Nightclub",179
"Field/Woods",146
"Government/Public Building",95
"School-College/University",85
"School/College",84
"ATM Separate from Bank",63
"Gambling Facility/Casino/Race Track",52
"Church/Synagogue/Temple/Mosque",50
"Amusement Park",34
"Community Center",32
"Rental Storage Facility",32
"Lake/Waterway/Beach",30
"Auto Dealership New/Used",28
"Arena/Stadium/Fairgrounds/Coliseum",25
"Industrial Site",24
"Camp/Campground",19
"Jail/Prison/Penitentiary/Corrections Facility",19
"Abandoned/Condemned Structure",10
"Farm Facility",10
"Rest Area",9
"Shelter-Mission/Homeless",8
"Dock/Wharf/Freight/Modal Terminal",3
"Daycare Facility",2
"Tribal Lands",2
"Cyberspace",0
"Military Installation",0
"Not Specified",0
