key,value
"Residence/Home",4895
"Other/Unknown",842
"Highway/Road/Alley/Street/Sidewalk",308
"Hotel/Motel/Etc.",238
"Parking/Drop Lot/Garage",113
"School-Elementary/Secondary",105
"Park/Playground",104
"School-College/University",69
"Shelter-Mission/Homeless",69
"Drug Store/Doctor's Office/Hospital",54
"Government/Public Building",47
"Jail/Prison/Penitentiary/Corrections Facility",33
"Bar/Nightclub",32
"Shopping Mall",30
"Field/Woods",29
"Commercial/Office Building",17
"Restaurant",16
"Specialty Store",11
"Abandoned/Condemned Structure",9
"Air/Bus/Train Terminal",9
"Church/Synagogue/Temple/Mosque",8
"Grocery/Supermarket",5
"Rental Storage Facility",3
"Service/Gas Station",3
"Amusement Park",2
"Camp/Campground",2
"Department/Discount Store",2
"Dock/Wharf/Freight/Modal Terminal",2
"Gambling Facility/Casino/Race Track",2
"Industrial Site",2
"Rest Area",2
"Auto Dealership New/Used",1
"Community Center",1
"Convenience Store",1
"Lake/Waterway/Beach",1
"Military Installation",1
"Arena/Stadium/Fairgrounds/Coliseum",0
"ATM Separate from Bank",0
"Bank/Savings and Loan",0
"Construction Site",0
"Cyberspace",0
"Daycare Facility",0
"Farm Facility",0
"Liquor Store",0
"Not Specified",0
"School/College",0
"Tribal Lands",0
