key,value
"Residence/Home",186
"Highway/Road/Alley/Street/Sidewalk",125
"Convenience Store",82
"Department/Discount Store",35
"Bank/Savings and Loan",28
"Other/Unknown",25
"Parking/Drop Lot/Garage",24
"Service/Gas Station",23
"Hotel/Motel/Etc.",20
"Commercial/Office Building",19
"Grocery/Supermarket",18
"Restaurant",14
"Specialty Store",14
"Drug Store/Doctor's Office/Hospital",12
"Field/Woods",11
"Park/Playground",11
"Shelter-Mission/Homeless",6
"Air/Bus/Train Terminal",4
"Government/Public Building",4
"Construction Site",3
"Bar/Nightclub",2
"Camp/Campground",2
"Jail/Prison/Penitentiary/Corrections Facility",2
"Shopping Mall",2
"Amusement Park",1
"Dock/Wharf/Freight/Modal Terminal",1
"Rest Area",1
"School-College/University",1
"Abandoned/Condemned Structure",0
"Arena/Stadium/Fairgrounds/Coliseum",0
"ATM Separate from Bank",0
"Auto Dealership New/Used",0
"Church/Synagogue/Temple/Mosque",0
"Community Center",0
"Cyberspace",0
"Daycare Facility",0
"Farm Facility",0
"Gambling Facility/Casino/Race Track",0
"Industrial Site",0
"Lake/Waterway/Beach",0
"Liquor Store",0
"Military Installation",0
"Not Specified",0
"Rental Storage Facility",0
"School-Elementary/Secondary",0
"School/College",0
"Tribal Lands",0
