key,value
"Highway/Road/Alley/Street/Sidewalk",19380
"Other/Unknown",7322
"Residence/Home",5859
"Parking/Drop Lot/Garage",1524
"Department/Discount Store",734
"Grocery/Supermarket",582
"Jail/Prison/Penitentiary/Corrections Facility",519
"Drug Store/Doctor's Office/Hospital",399
"Park/Playground",382
"Government/Public Building",376
"Shopping Mall",251
"Service/Gas Station",249
"Hotel/Motel/Etc.",228
"Specialty Store",205
"Air/Bus/Train Terminal",166
"Convenience Store",145
"Restaurant",138
"Commercial/Office Building",76
"Bar/Nightclub",72
"School-Elementary/Secondary",68
"Shelter-Mission/Homeless",68
"School-College/University",48
"Bank/Savings and Loan",41
"Field/Woods",34
"Construction Site",31
"Church/Synagogue/Temple/Mosque",20
"Gambling Facility/Casino/Race Track",20
"Abandoned/Condemned Structure",17
"Rental Storage Facility",16
"Liquor Store",12
"Dock/Wharf/Freight/Modal Terminal",8
"Industrial Site",7
"Rest Area",7
"Tribal Lands",6
"Daycare Facility",4
"Lake/Waterway/Beach",4
"Arena/Stadium/Fairgrounds/Coliseum",3
"Auto Dealership New/Used",3
"Amusement Park",2
"ATM Separate from Bank",1
"Community Center",1
"Military Installation",1
"Camp/Campground",0
"Cyberspace",0
"Farm Facility",0
"Not Specified",0
"School/College",0
