key,value
"Residence/Home",4082
"Other/Unknown",331
"Hotel/Motel/Etc.",280
"Highway/Road/Alley/Street/Sidewalk",246
"Parking/Drop Lot/Garage",229
"Drug Store/Doctor's Office/Hospital",127
"Park/Playground",123
"Tribal Lands",117
"School-Elementary/Secondary",96
"Field/Woods",65
"School-College/University",42
"Bar/Nightclub",36
"School/College",29
"Commercial/Office Building",27
"Camp/Campground",22
"Jail/Prison/Penitentiary/Corrections Facility",22
"Restaurant",18
"Shelter-Mission/Homeless",12
"Specialty Store",10
"Air/Bus/Train Terminal",9
"Government/Public Building",9
"Amusement Park",8
"Church/Synagogue/Temple/Mosque",8
"Community Center",8
"Rental Storage Facility",8
"Service/Gas Station",8
"Shopping Mall",8
"Convenience Store",7
"Gambling Facility/Casino/Race Track",6
"Lake/Waterway/Beach",5
"Daycare Facility",4
"Department/Discount Store",4
"Abandoned/Condemned Structure",3
"Construction Site",3
"Arena/Stadium/Fairgrounds/Coliseum",2
"Farm Facility",2
"Grocery/Supermarket",2
"Industrial Site",2
"Rest Area",2
"Auto Dealership New/Used",1
"Bank/Savings and Loan",1
"Dock/Wharf/Freight/Modal Terminal",1
"ATM Separate from Bank",0
"Cyberspace",0
"Liquor Store",0
"Military Installation",0
"Not Specified",0
