key,value
"Highway/Road/Alley/Street/Sidewalk",7409
"Residence/Home",3633
"Parking/Drop Lot/Garage",1107
"Jail/Prison/Penitentiary/Corrections Facility",850
"Hotel/Motel/Etc.",817
"School-Elementary/Secondary",462
"Gambling Facility/Casino/Race Track",437
"Other/Unknown",365
"Government/Public Building",360
"Convenience Store",342
"Service/Gas Station",273
"Department/Discount Store",240
"Grocery/Supermarket",227
"Drug Store/Doctor's Office/Hospital",197
"Bar/Nightclub",173
"Park/Playground",168
"Specialty Store",161
"Restaurant",135
"Field/Woods",102
"School-College/University",99
"Commercial/Office Building",95
"Rental Storage Facility",55
"Shelter-Mission/Homeless",46
"Air/Bus/Train Terminal",39
"Industrial Site",34
"Bank/Savings and Loan",28
"Shopping Mall",22
"Camp/Campground",21
"Church/Synagogue/Temple/Mosque",14
"Lake/Waterway/Beach",14
"Auto Dealership New/Used",11
"Construction Site",10
"Amusement Park",9
"Cyberspace",9
"Rest Area",9
"Arena/Stadium/Fairgrounds/Coliseum",8
"Abandoned/Condemned Structure",7
"Liquor Store",6
"School/College",6
"Tribal Lands",5
"Community Center",4
"Farm Facility",4
"Dock/Wharf/Freight/Modal Terminal",3
"Daycare Facility",1
"ATM Separate from Bank",0
"Military Installation",0
"Not Specified",0
