key,value
"Residence/Home",1904
"Government/Public Building",251
"Other/Unknown",213
"Hotel/Motel/Etc.",110
"School-Elementary/Secondary",95
"Highway/Road/Alley/Street/Sidewalk",78
"Drug Store/Doctor's Office/Hospital",62
"Parking/Drop Lot/Garage",50
"School-College/University",47
"Field/Woods",46
"Commercial/Office Building",26
"Park/Playground",21
"Restaurant",20
"Specialty Store",13
"Church/Synagogue/Temple/Mosque",9
"Bar/Nightclub",8
"Camp/Campground",8
"Department/Discount Store",8
"Convenience Store",7
"Jail/Prison/Penitentiary/Corrections Facility",6
"Grocery/Supermarket",5
"Shopping Mall",5
"Rental Storage Facility",4
"Amusement Park",3
"Construction Site",3
"Lake/Waterway/Beach",3
"School/College",3
"Air/Bus/Train Terminal",2
"Arena/Stadium/Fairgrounds/Coliseum",2
"Farm Facility",2
"Industrial Site",2
"Rest Area",2
"Abandoned/Condemned Structure",1
"Dock/Wharf/Freight/Modal Terminal",1
"Liquor Store",1
"Service/Gas Station",1
"ATM Separate from Bank",0
"Auto Dealership New/Used",0
"Bank/Savings and Loan",0
"Community Center",0
"Cyberspace",0
"Daycare Facility",0
"Gambling Facility/Casino/Race Track",0
"Military Installation",0
"Not Specified",0
"Shelter-Mission/Homeless",0
"Tribal Lands",0
