key,value
"Residence/Home",4687
"Highway/Road/Alley/Street/Sidewalk",777
"Bar/Nightclub",399
"Hotel/Motel/Etc.",329
"Parking/Drop Lot/Garage",146
"Jail/Prison/Penitentiary/Corrections Facility",115
"School-Elementary/Secondary",110
"Other/Unknown",101
"Park/Playground",91
"Drug Store/Doctor's Office/Hospital",54
"Restaurant",46
"Commercial/Office Building",35
"Service/Gas Station",34
"Convenience Store",31
"Government/Public Building",29
"Grocery/Supermarket",24
"Shelter-Mission/Homeless",24
"Department/Discount Store",23
"Rental Storage Facility",17
"Camp/Campground",16
"Shopping Mall",14
"Field/Woods",13
"Gambling Facility/Casino/Race Track",13
"Community Center",11
"Arena/Stadium/Fairgrounds/Coliseum",10
"Bank/Savings and Loan",10
"Church/Synagogue/Temple/Mosque",10
"Specialty Store",10
"Industrial Site",9
"School-College/University",9
"Air/Bus/Train Terminal",8
"Construction Site",8
"Lake/Waterway/Beach",7
"Liquor Store",7
"Farm Facility",6
"Tribal Lands",6
"Daycare Facility",5
"Auto Dealership New/Used",4
"Amusement Park",3
"Abandoned/Condemned Structure",2
"Rest Area",1
"School/College",1
"ATM Separate from Bank",0
"Cyberspace",0
"Dock/Wharf/Freight/Modal Terminal",0
"Military Installation",0
"Not Specified",0
