key,value
"Highway/Road/Alley/Street/Sidewalk",7403
"Residence/Home",4412
"Parking/Drop Lot/Garage",2184
"Service/Gas Station",1462
"Convenience Store",1180
"Department/Discount Store",849
"Hotel/Motel/Etc.",475
"Specialty Store",467
"Other/Unknown",445
"Restaurant",402
"Bank/Savings and Loan",376
"Grocery/Supermarket",357
"Liquor Store",353
"Park/Playground",313
"Drug Store/Doctor's Office/Hospital",172
"Commercial/Office Building",160
"Bar/Nightclub",149
"School-Elementary/Secondary",118
"Air/Bus/Train Terminal",112
"Rest Area",98
"Shopping Mall",89
"Field/Woods",73
"Gambling Facility/Casino/Race Track",50
"Church/Synagogue/Temple/Mosque",35
"ATM Separate from Bank",24
"Government/Public Building",24
"School-College/University",21
"Shelter-Mission/Homeless",21
"Abandoned/Condemned Structure",12
"Rental Storage Facility",11
"Auto Dealership New/Used",9
"Jail/Prison/Penitentiary/Corrections Facility",8
"Construction Site",7
"Lake/Waterway/Beach",7
"Arena/Stadium/Fairgrounds/Coliseum",4
"Camp/Campground",4
"Industrial Site",3
"Farm Facility",2
"Amusement Park",1
"Community Center",1
"Daycare Facility",1
"Cyberspace",0
"Dock/Wharf/Freight/Modal Terminal",0
"Military Installation",0
"Not Specified",0
"School/College",0
"Tribal Lands",0
