key,value
"Residence/Home",1677
"Hotel/Motel/Etc.",142
"Other/Unknown",90
"Highway/Road/Alley/Street/Sidewalk",56
"Park/Playground",27
"Parking/Drop Lot/Garage",26
"School-Elementary/Secondary",21
"School-College/University",19
"Drug Store/Doctor's Office/Hospital",18
"Field/Woods",18
"Bar/Nightclub",17
"Camp/Campground",7
"Daycare Facility",7
"Tribal Lands",6
"Church/Synagogue/Temple/Mosque",5
"Shelter-Mission/Homeless",5
"Shopping Mall",5
"Gambling Facility/Casino/Race Track",4
"Government/Public Building",4
"Jail/Prison/Penitentiary/Corrections Facility",4
"Restaurant",4
"Commercial/Office Building",3
"Industrial Site",3
"Lake/Waterway/Beach",3
"Rental Storage Facility",3
"Service/Gas Station",3
"Arena/Stadium/Fairgrounds/Coliseum",2
"Community Center",2
"Department/Discount Store",2
"Grocery/Supermarket",2
"Specialty Store",2
"Amusement Park",1
"Auto Dealership New/Used",1
"Construction Site",1
"Convenience Store",1
"Farm Facility",1
"Military Installation",1
"Rest Area",1
"School/College",1
"Abandoned/Condemned Structure",0
"Air/Bus/Train Terminal",0
"ATM Separate from Bank",0
"Bank/Savings and Loan",0
"Cyberspace",0
"Dock/Wharf/Freight/Modal Terminal",0
"Liquor Store",0
"Not Specified",0
