key,value
"Highway/Road/Alley/Street/Sidewalk",2511825
"Residence/Home",683666
"Parking/Drop Lot/Garage",395337
"Other/Unknown",143238
"School-Elementary/Secondary",132818
"Hotel/Motel/Etc.",110490
"Convenience Store",80410
"Jail/Prison/Penitentiary/Corrections Facility",75365
"Service/Gas Station",67054
"Department/Discount Store",61455
"Park/Playground",49127
"Government/Public Building",46781
"Grocery/Supermarket",36174
"Drug Store/Doctor's Office/Hospital",34024
"Restaurant",31408
"Commercial/Office Building",30602
"Field/Woods",25458
"Air/Bus/Train Terminal",24421
"School-College/University",22742
"Specialty Store",21883
"School/College",21377
"Gambling Facility/Casino/Race Track",15731
"Bar/Nightclub",11784
"Shopping Mall",8335
"Church/Synagogue/Temple/Mosque",6671
"Rental Storage Facility",5661
"Dock/Wharf/Freight/Modal Terminal",5532
"Lake/Waterway/Beach",5402
"Bank/Savings and Loan",4508
"Construction Site",3782
"Camp/Campground",3061
"Abandoned/Condemned Structure",3056
"Shelter-Mission/Homeless",3054
"Tribal Lands",2575
"Liquor Store",2477
"Industrial Site",2368
"Auto Dealership New/Used",2120
"Rest Area",1813
"Community Center",1442
"Arena/Stadium/Fairgrounds/Coliseum",1435
"Amusement Park",1400
"Military Installation",1377
"Farm Facility",571
"Daycare Facility",403
"ATM Separate from Bank",336
"Cyberspace",179
"Not Specified",0
