key,value
"Highway/Road/Alley/Street/Sidewalk",14993
"Residence/Home",4590
"Parking/Drop Lot/Garage",1349
"Government/Public Building",1268
"Other/Unknown",1238
"School-Elementary/Secondary",1157
"Convenience Store",889
"Department/Discount Store",832
"Hotel/Motel/Etc.",692
"Restaurant",602
"Service/Gas Station",520
"Commercial/Office Building",517
"Drug Store/Doctor's Office/Hospital",451
"Field/Woods",350
"Specialty Store",332
"School-College/University",325
"Park/Playground",321
"Jail/Prison/Penitentiary/Corrections Facility",246
"Grocery/Supermarket",245
"Bank/Savings and Loan",94
"Lake/Waterway/Beach",72
"Church/Synagogue/Temple/Mosque",66
"Air/Bus/Train Terminal",58
"Bar/Nightclub",57
"Rental Storage Facility",50
"Rest Area",46
"Auto Dealership New/Used",43
"Shopping Mall",35
"Shelter-Mission/Homeless",33
"Construction Site",27
"Liquor Store",21
"Camp/Campground",20
"Industrial Site",15
"School/College",15
"Amusement Park",9
"Daycare Facility",9
"Dock/Wharf/Freight/Modal Terminal",8
"Gambling Facility/Casino/Race Track",7
"Abandoned/Condemned Structure",6
"Arena/Stadium/Fairgrounds/Coliseum",6
"Farm Facility",5
"Community Center",3
"Cyberspace",2
"ATM Separate from Bank",1
"Military Installation",0
"Not Specified",0
"Tribal Lands",0
